b0020_b3762 :1 b0020 b3762 :2 1     b0020           b3762           1uthA/1_0_0     1uthA/1_1_1           15.8       44.1       0.64        180         9%
b0136_b0531 :1 b0136 b0531 :2 1     b0136           b0531           3sqbA/0_0_0     3sqbA/0_1_3            6.0       12.6       0.66         69        30%
b0136_b0534 :1 b0136 b0534 :2 1     b0136           b0534           3bfqG/1_0_0     3bfqG/1_1_1           10.7       29.0       0.51        104        16%
b0136_b0717 :1 b0136 b0717 :2 1     b0136           b0717           3sqbA/0_0_0     3sqbA/0_1_3            6.7       14.3       0.73         72        22%
b0136_b0938 :1 b0136 b0938 :2 1     b0136           b0938           2uy6B/0_0_1     2uy6B/0_1_2            9.3       25.8       0.41         96        18%
b0136_b0939 :1 b0136 b0939 :2 1     b0136           b0939           3sqbA/0_0_0     3sqbA/0_1_3            5.9       12.3       0.66         69        28%
b0136_b0942 :1 b0136 b0942 :2 1     b0136           b0942           3bfqG/1_0_0     3bfqG/1_1_1           10.6       28.7       0.52        104        16%
b0136_b0943 :1 b0136 b0943 :2 1     b0136           b0943           3bfqG/0_0_0     3bfqG/0_1_1           10.6       28.5       0.52        104        18%
b0136_b0944 :1 b0136 b0944 :2 1     b0136           b0944           3sqbA/0_0_0     3sqbA/0_1_3            6.0       12.6       0.66         69        21%
b0136_b1502 :1 b0136 b1502 :2 1     b0136           b1502           3jwnG/1_0_3     3jwnG/1_1_4           13.6       35.5       0.80        119        46%
b0136_b1503 :1 b0136 b1503 :2 1     b0136           b1503           3bfwA/0_0_0     3bfwA/0_1_2            6.1       10.2       0.94         57        28%
b0136_b1504 :1 b0136 b1504 :2 1     b0136           b1504           3bfqG/1_0_0     3bfqG/1_1_1           10.6       28.8       0.52        104        19%
b0136_b2110 :1 b0136 b2110 :2 1     b0136           b2110           3sqbA/0_0_0     3sqbA/0_1_3            6.0       12.7       0.66         69        23%
b0136_b2333 :1 b0136 b2333 :2 1     b0136           b2333           2uy6B/0_0_1     2uy6B/0_1_2            9.2       25.4       0.41         96        19%
b0136_b2336 :1 b0136 b2336 :2 1     b0136           b2336           3sqbA/0_0_0     3sqbA/0_1_3            6.8       14.5       0.73         72        20%
b0136_b2339 :1 b0136 b2339 :2 1     b0136           b2339           2uy6B/0_0_1     2uy6B/0_1_2            9.3       25.7       0.41         96        18%
b0136_b3043 :1 b0136 b3043 :2 1     b0136           b3043           2uy6B/0_0_1     2uy6B/0_1_2            9.5       26.4       0.41         96        22%
b0136_b3047 :1 b0136 b3047 :2 1     b0136           b3047           3sqbA/0_0_0     3sqbA/0_1_3            6.8       14.5       0.72         72        27%
b0136_b3142 :1 b0136 b3142 :2 1     b0136           b3142           2uy6B/0_0_1     2uy6B/0_1_2            9.2       25.4       0.41         96        17%
b0136_b3143 :1 b0136 b3143 :2 1     b0136           b3143           3sqbA/0_0_0     3sqbA/0_1_3            6.0       12.8       0.66         69        30%
b0136_b3215 :1 b0136 b3215 :2 1     b0136           b3215           3sqbA/0_0_0     3sqbA/0_1_3            5.3       10.5       0.65         68        19%
b0136_b4314 :1 b0136 b4314 :2 1     b0136           b4314           3bfqG/0_0_0     3bfqG/0_1_1           10.6       28.8       0.52        104        15%
b0136_b4315 :1 b0136 b4315 :2 1     b0136           b4315           2uy6B/0_0_1     2uy6B/0_1_2            9.2       25.2       0.41         96        27%
b0136_b4316 :1 b0136 b4316 :2 1     b0136           b4316           3sqbA/0_0_0     3sqbA/0_1_3            6.9       14.7       0.73         72        54%
b0136_b4318 :1 b0136 b4318 :2 1     b0136           b4318           3bfqG/1_0_0     3bfqG/1_1_1           10.7       28.9       0.52        104        25%
b0136_b4319 :1 b0136 b4319 :2 1     b0136           b4319           3bfwA/0_0_0     3bfwA/0_1_2            6.1       10.2       0.94         57        54%
b0136_b4320 :1 b0136 b4320 :2 1     b0136           b4320           3jwnG/1_0_3     3jwnG/1_1_4           13.6       35.6       0.80        119        71%
b0140_b0141 :1 b0140 b0141 :2 1     b0140           b0141           3sqbA/0_0_0     3sqbA/0_1_3            6.5       14.3       0.66         71        21%
b0141_b0289 :1 b0141 b0289 :2 1     b0141           b0289           3sqbA/0_0_0     3sqbA/0_1_3            5.7       11.5       0.66         67        11%
b0141_b0292 :1 b0141 b0292 :2 1     b0141           b0292           3sqbA/0_0_0     3sqbA/0_1_3            5.6       11.8       0.62         70        14%
b0141_b0531 :1 b0141 b0531 :2 1     b0141           b0531           3sqbA/0_0_0     3sqbA/0_1_3            6.4       13.8       0.66         71        29%
b0141_b0534 :1 b0141 b0534 :2 1     b0141           b0534           3jwnH/0_0_4     3jwnH/0_1_3            9.4       26.9       0.32        100        24%
b0141_b0717 :1 b0141 b0717 :2 1     b0141           b0717           3sqbA/0_0_0     3sqbA/0_1_3            7.2       15.8       0.73         74        21%
b0141_b0939 :1 b0141 b0939 :2 1     b0141           b0939           3sqbA/0_0_0     3sqbA/0_1_3            6.5       14.3       0.66         71        28%
b0141_b0942 :1 b0141 b0942 :2 1     b0141           b0942           3jwnH/0_0_4     3jwnH/0_1_3           10.1       28.7       0.35        105        23%
b0141_b0943 :1 b0141 b0943 :2 1     b0141           b0943           3jwnH/1_0_4     3jwnH/1_1_3            9.8       27.7       0.35        105        23%
b0141_b0944 :1 b0141 b0944 :2 1     b0141           b0944           3sqbA/0_0_0     3sqbA/0_1_3            6.3       13.6       0.66         71        21%
b0141_b1503 :1 b0141 b1503 :2 1     b0141           b1503           1z9sC/0_0_2     1z9sC/0_1_1            8.4       23.5       0.33        105        11%
b0141_b1504 :1 b0141 b1504 :2 1     b0141           b1504           3jwnH/1_0_4     3jwnH/1_1_3            9.9       28.2       0.35        105        23%
b0141_b2110 :1 b0141 b2110 :2 1     b0141           b2110           3sqbA/0_0_0     3sqbA/0_1_3            6.5       14.1       0.66         71        22%
b0141_b2336 :1 b0141 b2336 :2 1     b0141           b2336           3sqbA/0_0_0     3sqbA/0_1_3            7.3       15.9       0.73         74        20%
b0141_b3047 :1 b0141 b3047 :2 1     b0141           b3047           3sqbA/0_0_0     3sqbA/0_1_3            7.2       15.8       0.72         74        27%
b0141_b3143 :1 b0141 b3143 :2 1     b0141           b3143           3sqbA/0_0_0     3sqbA/0_1_3            6.4       14.0       0.66         71        29%
b0141_b3215 :1 b0141 b3215 :2 1     b0141           b3215           3sqbA/0_0_0     3sqbA/0_1_3            5.7       11.7       0.65         70        18%
b0141_b4314 :1 b0141 b4314 :2 1     b0141           b4314           3jwnH/1_0_4     3jwnH/1_1_3            9.8       28.0       0.35        105        24%
b0141_b4316 :1 b0141 b4316 :2 1     b0141           b4316           3sqbA/0_0_0     3sqbA/0_1_3            7.6       15.7       0.85         74        52%
b0141_b4319 :1 b0141 b4319 :2 1     b0141           b4319           1z9sC/1_0_2     1z9sC/1_1_1            8.4       23.7       0.33        105        11%
b0151_b0653 :1 b0151 b0653 :2 1     b0151           b0653           3tuiA/1_0_0     3tuiA/1_1_2            9.6       23.8       0.70        114        23%
b0151_b0810 :1 b0151 b0810 :2 1     b0151           b0810           3tuzC/1_0_3     3tuzC/1_1_0           10.2       25.0       0.77        116        23%
b0151_b0934 :1 b0151 b0934 :2 1     b0151           b0934           3d31A/0_0_0     3d31A/0_1_2            9.3       22.9       0.70        104        25%
b0151_b2592 :1 b0151 b2592 :2 1     b0151           b2592           3c4jA/0_0_0     3c4jA/0_1_1            5.4       14.1       0.31        112        30%
b0153_b2985 :1 b0153 b2985 :2 1     b0153           b2985           2nq2A/1_0_0     2nq2A/1_1_1            9.5       24.1       0.64        135        25%
b0158_b1941 :1 b0158 b1941 :2 1     b0158           b1941           2hldD/1_0_3     2hldD/1_1_2            8.1       23.4       0.25        196        18%
b0198_b0810 :1 b0198 b0810 :2 1     b0198           b0810           2onkC/1_0_2     2onkC/1_1_3           19.6       55.6       0.70        210        15%
b0199_b0653 :1 b0199 b0653 :2 1     b0199           b0653           3d31A/1_0_0     3d31A/1_1_2           10.8       26.7       0.80        106        28%
b0199_b0810 :1 b0199 b0810 :2 1     b0199           b0810           3tuzC/0_0_2     3tuzC/0_1_0           11.2       27.3       0.86        117        70%
b0199_b0934 :1 b0199 b0934 :2 1     b0199           b0934           3d31C/0_0_2     3d31C/0_1_0           10.9       26.9       0.80        106        29%
b0199_b2592 :1 b0199 b2592 :2 1     b0199           b2592           3c4jA/0_0_0     3c4jA/0_1_1            5.8       15.4       0.31        113        44%
b0211_b2854 :1 b0211 b2854 :2 1     b0211           b2854           3t21A/0_0_0     3t21A/0_1_1            7.4       15.2       0.86         83        14%
b0215_b2011 :1 b0215 b2011 :2 1     b0215           b2011           2o4gA/1_0_0     2o4gA/1_1_1           11.6       30.6       0.66        159        17%
b0230_b2605 :1 b0230 b2605 :2 1     b0230           b2605           3s0wA/2_0_2     3s0wA/2_1_3           11.1       28.6       0.69        137        20%
b0230_b3552 :1 b0230 b3552 :2 1     b0230           b3552           3cypB/0_0_0     3cypB/0_1_1            7.1       16.0       0.67         92        23%
b0262_b0653 :1 b0262 b0653 :2 1     b0262           b0653           3d31A/2_0_0     3d31A/2_1_1           10.6       26.1       0.77        106        40%
b0262_b0810 :1 b0262 b0810 :2 1     b0262           b0810           3tuzC/1_0_3     3tuzC/1_1_0           10.5       25.8       0.80        113        33%
b0262_b0934 :1 b0262 b0934 :2 1     b0262           b0934           3d31A/2_0_0     3d31A/2_1_1           10.5       26.0       0.77        106        41%
b0262_b2592 :1 b0262 b2592 :2 1     b0262           b2592           3c4jA/0_0_0     3c4jA/0_1_1            6.0       16.2       0.31        114        42%
b0299_b0361 :1 b0299 b0361 :2 1     b0299           b0361           3f9kA/1_0_0     3f9kA/1_1_1           11.1       30.3       0.52        144        10%
b0299_b1402 :1 b0299 b1402 :2 1     b0299           b1402           3f9kA/1_0_0     3f9kA/1_1_1           11.1       30.3       0.52        144        10%
b0299_b1996 :1 b0299 b1996 :2 1     b0299           b1996           3f9kA/1_0_0     3f9kA/1_1_1           11.1       30.3       0.52        144        10%
b0299_b2860 :1 b0299 b2860 :2 1     b0299           b2860           3f9kA/1_0_0     3f9kA/1_1_1           11.1       30.3       0.52        144        10%
b0299_b3045 :1 b0299 b3045 :2 1     b0299           b3045           3f9kA/1_0_0     3f9kA/1_1_1           11.1       30.3       0.52        144        10%
b0299_b4273 :1 b0299 b4273 :2 1     b0299           b4273           3f9kA/1_0_0     3f9kA/1_1_1           11.1       30.3       0.52        144        10%
b0300_b0566 :1 b0300 b0566 :2 1     b0300           b0566           3lsgA/1_0_0     3lsgA/1_1_1            5.5       11.9       0.56         84        21%
b0300_b1499 :1 b0300 b1499 :2 1     b0300           b1499           3lsgA/0_0_0     3lsgA/0_1_1            5.4       11.7       0.56         85        20%
b0300_b1531 :1 b0300 b1531 :2 1     b0300           b1531           3lsgA/0_0_0     3lsgA/0_1_1            8.4       19.1       0.77        100        22%
b0300_b3569 :1 b0300 b3569 :2 1     b0300           b3569           3lsgA/1_0_0     3lsgA/1_1_1            8.0       19.1       0.67         99        18%
b0300_b4062 :1 b0300 b4062 :2 1     b0300           b4062           3lsgA/1_0_0     3lsgA/1_1_1            8.0       19.1       0.67         99        22%
b0300_b4116 :1 b0300 b4116 :2 1     b0300           b4116           3lsgA/1_0_0     3lsgA/1_1_1            5.4       11.8       0.56         84        23%
b0305_b1384 :1 b0305 b1384 :2 1     b0305           b1384           2araA/1_0_1     2araA/1_0_0            5.5       12.7       0.49         68        10%
b0305_b1735 :1 b0305 b1735 :2 1     b0305           b1735           2araA/1_0_1     2araA/1_0_0            5.4       12.2       0.49         68         7%
b0305_b3569 :1 b0305 b3569 :2 1     b0305           b3569           3lsgA/0_0_0     3lsgA/0_1_1            7.4       17.7       0.60         97        18%
b0318_b1721 :1 b0318 b1721 :2 1     b0318           b1721           1ot8A/0_0_0     1ot8A/0_1_2           10.2       25.1       0.76        122        18%
b0343_b3710 :1 b0343 b3710 :2 1     b0343           b3710           4apsA/1_0_0     4apsA/1_1_1            8.2       21.8       0.44        138        13%
b0343_b3876 :1 b0343 b3876 :2 1     b0343           b3876           4apsA/0_0_0     4apsA/0_1_1            7.9       20.9       0.44        138        15%
b0343_b4130 :1 b0343 b4130 :2 1     b0343           b4130           4apsA/1_0_0     4apsA/1_1_1            8.1       21.4       0.44        138        16%
b0343_b4279 :1 b0343 b4279 :2 1     b0343           b4279           4apsA/1_0_0     4apsA/1_1_1            7.8       20.7       0.44        137        15%
b0351_b1417 :1 b0351 b1417 :2 1     b0351           b1417           2ep5A/1_0_0     2ep5A/1_1_1           10.2       27.6       0.49        123        16%
b0351_b1779 :1 b0351 b1779 :2 1     b0351           b1779           3dbvO/1_0_0     3dbvO/1_1_1           12.7       36.0       0.47        174        37%
b0351_b2319 :1 b0351 b2319 :2 1     b0351           b2319           2qz9A/0_0_0     2qz9A/0_1_1            7.6       19.0       0.55        167        25%
b0351_b2927 :1 b0351 b2927 :2 1     b0351           b2927           3dbvO/1_0_0     3dbvO/1_1_1           12.6       35.5       0.47        173        30%
b0351_b3433 :1 b0351 b3433 :2 1     b0351           b3433           2qz9A/0_0_0     2qz9A/0_1_1            7.7       19.2       0.55        169        20%
b0356_b3845 :1 b0356 b3845 :2 1     b0356           b3845           1wdmC/1_0_2     1wdmC/1_1_0            5.1       12.4       0.39         82        30%
b0361_b0372 :1 b0361 b0372 :2 1     b0361           b0372           3f9kA/1_0_0     3f9kA/1_1_1           10.9       29.7       0.51        141         9%
b0361_b0541 :1 b0361 b0541 :2 1     b0361           b0541           3f9kA/1_0_0     3f9kA/1_1_1           10.9       29.7       0.51        141         9%
b0361_b1026 :1 b0361 b1026 :2 1     b0361           b1026           3f9kA/1_0_0     3f9kA/1_1_1           10.9       29.7       0.51        141         9%
b0361_b1402 :1 b0361 b1402 :2 1     b0361           b1402           3f9kA/1_0_0     3f9kA/1_1_1           10.8       29.2       0.53        142         9%
b0361_b1578 :1 b0361 b1578 :2 1     b0361           b1578           3f9kA/1_0_0     3f9kA/1_1_1           11.4       31.2       0.53        148        13%
b0361_b1996 :1 b0361 b1996 :2 1     b0361           b1996           3f9kA/1_0_0     3f9kA/1_1_1           10.8       29.2       0.53        142         9%
b0361_b2089 :1 b0361 b2089 :2 1     b0361           b2089           3f9kA/1_0_0     3f9kA/1_1_1           10.9       29.7       0.51        141         9%
b0361_b2860 :1 b0361 b2860 :2 1     b0361           b2860           3f9kA/1_0_0     3f9kA/1_1_1           10.8       29.2       0.53        142         9%
b0361_b3045 :1 b0361 b3045 :2 1     b0361           b3045           3f9kA/1_0_0     3f9kA/1_1_1           10.8       29.2       0.53        142         9%
b0361_b3558 :1 b0361 b3558 :2 1     b0361           b3558           3f9kA/1_0_0     3f9kA/1_1_1           11.3       31.0       0.53        148        12%
b0361_b4273 :1 b0361 b4273 :2 1     b0361           b4273           3f9kA/1_0_0     3f9kA/1_1_1           10.8       29.2       0.53        142         9%
b0366_b0653 :1 b0366 b0653 :2 1     b0366           b0653           3pv0A/0_0_3     3pv0A/0_1_2            9.9       23.7       0.79        101        37%
b0366_b0810 :1 b0366 b0810 :2 1     b0366           b0810           3tuiA/0_0_0     3tuiA/0_1_2           10.4       24.9       0.84        113        37%
b0366_b0934 :1 b0366 b0934 :2 1     b0366           b0934           3pv0A/0_0_3     3pv0A/0_1_2            9.9       23.8       0.79        101        38%
b0366_b2592 :1 b0366 b2592 :2 1     b0366           b2592           3c4jA/0_0_0     3c4jA/0_1_1            6.0       16.1       0.31        114        34%
b0367_b0653 :1 b0367 b0653 :2 1     b0367           b0653           2onkC/1_0_2     2onkC/1_1_3           20.9       59.1       0.79        218        13%
b0367_b0810 :1 b0367 b0810 :2 1     b0367           b0810           2onkC/1_0_2     2onkC/1_1_3           20.0       56.9       0.70        211        13%
b0367_b0934 :1 b0367 b0934 :2 1     b0367           b0934           2onkC/1_0_2     2onkC/1_1_3           21.1       59.5       0.79        211        15%
b0372_b1402 :1 b0372 b1402 :2 1     b0372           b1402           3f9kA/1_0_0     3f9kA/1_1_1           11.1       30.3       0.52        144        10%
b0372_b1996 :1 b0372 b1996 :2 1     b0372           b1996           3f9kA/1_0_0     3f9kA/1_1_1           11.1       30.3       0.52        144        10%
b0372_b2860 :1 b0372 b2860 :2 1     b0372           b2860           3f9kA/1_0_0     3f9kA/1_1_1           11.1       30.3       0.52        144        10%
b0372_b3045 :1 b0372 b3045 :2 1     b0372           b3045           3f9kA/1_0_0     3f9kA/1_1_1           11.1       30.3       0.52        144        10%
b0372_b4273 :1 b0372 b4273 :2 1     b0372           b4273           3f9kA/1_0_0     3f9kA/1_1_1           11.1       30.3       0.52        144        10%
b0385_b1490 :1 b0385 b1490 :2 1     b0385           b1490           3hvaA/0_0_0     3hvaA/0_1_1            9.4       21.6       0.85        108        24%
b0385_b1794 :1 b0385 b1794 :2 1     b0385           b1794           3mtkA/0_0_0     3mtkA/0_1_1            7.1       14.6       0.82        132        25%
b0398_b0495 :1 b0398 b0495 :2 1     b0398           b0495           3thoB/2_0_3     3thoB/2_1_2            7.1       18.4       0.43        180        13%
b0398_b0652 :1 b0398 b0652 :2 1     b0398           b0652           3thoB/2_0_1     3thoB/2_0_3            7.1       18.4       0.43         84        14%
b0398_b0864 :1 b0398 b0864 :2 1     b0398           b0864           3thoB/2_0_3     3thoB/2_1_2            7.3       19.3       0.42        180        15%
b0398_b3201 :1 b0398 b3201 :2 1     b0398           b3201           2d3wA/1_0_0     2d3wA/1_1_1            5.5       13.5       0.41         93        16%
b0398_b3463 :1 b0398 b3463 :2 1     b0398           b3463           3thoB/2_0_3     3thoB/2_1_2            7.2       18.7       0.43        179        11%
b0402_b2796 :1 b0402 b2796 :2 1     b0402           b2796           3lrbA/1_0_0     3lrbA/1_1_1            6.4       17.0       0.34        159        11%
b0402_b3116 :1 b0402 b3116 :2 1     b0402           b3116           3usjA/0_0_0     3usjA/0_1_1            5.0       12.3       0.38        101         8%
b0417_b0968 :1 b0417 b0968 :2 1     b0417           b0968           2eg1A/1_0_1     2eg1A/1_0_0            6.3       16.3       0.39         91         7%
b0417_b1298 :1 b0417 b1298 :2 1     b0417           b1298           1jyeA/2_0_1     1jyeA/2_0_0            7.3       20.2       0.32        112         6%
b0448_b2066 :1 b0448 b2066 :2 1     b0448           b2066           1mv5A/1_0_0     1mv5A/1_1_1            5.7       14.7       0.34         96        25%
b0448_b2616 :1 b0448 b2616 :2 1     b0448           b2616           2awnB/1_0_1     2awnB/1_1_0            5.7       14.5       0.36        115        25%
b0449_b2066 :1 b0449 b2066 :2 1     b0449           b2066           1mv5A/1_0_0     1mv5A/1_1_1            5.8       15.2       0.34         96        23%
b0449_b2616 :1 b0449 b2616 :2 1     b0449           b2616           2awnB/1_0_1     2awnB/1_1_0            5.6       14.3       0.36        115        23%
b0450_b3940 :1 b0450 b3940 :2 1     b0450           b3940           1uflB/2_0_4     1uflB/2_1_3            6.6       17.9       0.33         92        30%
b0462_b0795 :1 b0462 b0795 :2 1     b0462           b0795           2hrtA/1_0_0     2hrtA/1_1_2            6.9       19.8       0.23        227        78%
b0462_b3487 :1 b0462 b3487 :2 1     b0462           b3487           1t9wA/2_0_2     1t9wA/2_0_0            6.4       18.5       0.21        221        79%
b0462_b3586 :1 b0462 b3586 :2 1     b0462           b3586           1oy9A/1_0_1     1oy9A/1_0_2            6.9       20.0       0.22        220        77%
b0462_b3597 :1 b0462 b3597 :2 1     b0462           b3597           3ne5A/3_0_8     3ne5A/3_1_7            6.5       18.5       0.23        166        12%
b0490_b0653 :1 b0490 b0653 :2 1     b0490           b0653           3pv0G/0_0_2     3pv0G/0_1_3           10.3       25.2       0.79        102        26%
b0490_b0810 :1 b0490 b0810 :2 1     b0490           b0810           3tuzC/1_0_3     3tuzC/1_1_0           10.9       26.5       0.85        114        29%
b0490_b0934 :1 b0490 b0934 :2 1     b0490           b0934           3pv0G/0_0_2     3pv0G/0_1_3           10.1       24.4       0.79        102        27%
b0490_b2592 :1 b0490 b2592 :2 1     b0490           b2592           3c4jA/1_0_0     3c4jA/1_1_1            5.5       14.6       0.31        110        19%
b0493_b2041 :1 b0493 b2041 :2 1     b0493           b2041           2iltA/2_0_2     2iltA/2_0_0           16.1       45.9       0.58        196        14%
b0493_b3788 :1 b0493 b3788 :2 1     b0493           b3788           1zemA/3_0_0     1zemA/3_1_1           17.6       50.8       0.56        171        18%
b0495_b0653 :1 b0495 b0653 :2 1     b0495           b0653           3tuiC/1_0_2     3tuiC/1_1_0           10.4       26.2       0.70        115        34%
b0495_b0810 :1 b0495 b0810 :2 1     b0495           b0810           3tuiC/1_0_2     3tuiC/1_1_0           11.2       27.0       0.88        119        35%
b0495_b0934 :1 b0495 b0934 :2 1     b0495           b0934           3pv0G/1_0_2     3pv0G/1_1_3           10.4       25.2       0.79        103        36%
b0495_b2592 :1 b0495 b2592 :2 1     b0495           b2592           3c4jA/0_0_0     3c4jA/0_1_1            6.0       16.0       0.31        114        41%
b0522_b2023 :1 b0522 b2023 :2 1     b0522           b2023           2czgA/1_0_0     2czgA/1_1_1            6.2       17.8       0.22        149        20%
b0535_b2855 :1 b0535 b2855 :2 1     b0535           b2855           3c3wA/1_0_0     3c3wA/1_1_1           15.7       42.5       0.79        180        20%
b0541_b1402 :1 b0541 b1402 :2 1     b0541           b1402           3f9kA/1_0_0     3f9kA/1_1_1           11.1       30.3       0.52        144        10%
b0541_b1996 :1 b0541 b1996 :2 1     b0541           b1996           3f9kA/1_0_0     3f9kA/1_1_1           11.1       30.3       0.52        144        10%
b0541_b2860 :1 b0541 b2860 :2 1     b0541           b2860           3f9kA/1_0_0     3f9kA/1_1_1           11.1       30.3       0.52        144        10%
b0541_b3045 :1 b0541 b3045 :2 1     b0541           b3045           3f9kA/1_0_0     3f9kA/1_1_1           11.1       30.3       0.52        144        10%
b0541_b4273 :1 b0541 b4273 :2 1     b0541           b4273           3f9kA/1_0_0     3f9kA/1_1_1           11.1       30.3       0.52        144        10%
b0546_b1384 :1 b0546 b1384 :2 1     b0546           b1384           2araA/1_0_1     2araA/1_0_0            5.4       12.3       0.49         68        11%
b0546_b1735 :1 b0546 b1735 :2 1     b0546           b1735           2araA/1_0_1     2araA/1_0_0            5.3       12.0       0.49         68         8%
b0546_b3569 :1 b0546 b3569 :2 1     b0546           b3569           3lsgA/0_0_0     3lsgA/0_1_1            7.2       17.0       0.60         97        16%
b0564_b3569 :1 b0564 b3569 :2 1     b0564           b3569           3lsgA/0_0_0     3lsgA/0_1_1            7.2       17.0       0.60         97        19%
b0566_b3569 :1 b0566 b3569 :2 1     b0566           b3569           3lsgA/1_0_0     3lsgA/1_1_1            7.4       17.7       0.59         98        20%
b0568_b3163 :1 b0568 b3163 :2 1     b0568           b3163           3hymB/0_0_1     3hymB/0_1_3            6.8       16.2       0.56         82        14%
b0570_b2219 :1 b0570 b2219 :2 1     b0570           b2219           2zdyA/0_0_0     2zdyA/0_1_1           10.8       27.8       0.67        155        18%
b0571_b2855 :1 b0571 b2855 :2 1     b0571           b2855           2pmuA/0_0_0     2pmuA/0_1_5            6.2       13.4       0.64         63        19%
b0575_b0795 :1 b0575 b0795 :2 1     b0575           b0795           2w1bA/1_0_2     2w1bA/1_0_0            6.5       18.8       0.21        222        15%
b0575_b3487 :1 b0575 b3487 :2 1     b0575           b3487           1t9wA/2_0_1     1t9wA/2_0_2            6.5       18.8       0.21        217        15%
b0575_b3586 :1 b0575 b3586 :2 1     b0575           b3586           1iwgA/1_0_1     1iwgA/1_0_0            6.6       19.1       0.22        213        16%
b0575_b3597 :1 b0575 b3597 :2 1     b0575           b3597           3k0iA/1_0_2     3k0iA/1_0_1            6.2       17.9       0.21        185        70%
b0576_b3116 :1 b0576 b3116 :2 1     b0576           b3116           3usjA/0_0_0     3usjA/0_1_1            5.0       12.3       0.38        101         8%
b0587_b2027 :1 b0587 b2027 :2 1     b0587           b2027           3b8mA/1_0_6     3b8mA/1_1_7           15.4       42.0       0.73        226        57%
b0588_b0653 :1 b0588 b0653 :2 1     b0588           b0653           3d31A/1_0_0     3d31A/1_1_2            9.6       23.5       0.70        104        25%
