11AS_B	11AS_A
1AIP_G	1AIP_D
1AIP_G	1AIP_E
1AIP_G	1AIP_F
1AIP_G	1AIP_H
1AIS_A	1AIS_B
1AIS_B	1AIS_A
1AJ8_A	1AJ8_B
1AJK_A	1AJK_B
1AJK_B	1AJK_A
1AJO_A	1AJO_B
1AJO_B	1AJO_A
1AJY_A	1AJY_B
1AKH_B	1AKH_A
1AKS_A	1AKS_B
1AKS_B	1AKS_A
1AL0_B	1AL0_1
1AL0_B	1AL0_2
1AL0_B	1AL0_3
1AL0_B	1AL0_4
1AL0_B	1AL0_F
1AL0_B	1AL0_G
1ALL_A	1ALL_B
1AM4_C	1AM4_A
1AM4_C	1AM4_B
1AM4_C	1AM4_D
1AM4_C	1AM4_E
1AM4_C	1AM4_F
1AM7_C	1AM7_A
1AM7_C	1AM7_B
1AM9_C	1AM9_A
1AM9_C	1AM9_B
1AM9_C	1AM9_D
1AMU_A	1AMU_B
1AN1_I	1AN1_E
1AN4_A	1AN4_B
1AO0_B	1AO0_A
1AO0_B	1AO0_C
1AO0_B	1AO0_D
1AO3_A	1AO3_B
1AO5_A	1AO5_B
1AOC_A	1AOC_B
1AOE_A	1AOE_B
1AOG_A	1AOG_B
1AOH_A	1AOH_B
1AOI_A	1AOI_B
1AOI_A	1AOI_C
1AOI_A	1AOI_D
1AOI_A	1AOI_E
1AOI_A	1AOI_F
1AOI_A	1AOI_G
1AOI_A	1AOI_H
1AOI_E	1AOI_A
1AOI_E	1AOI_B
1AOI_E	1AOI_C
1AOI_E	1AOI_D
1AOI_E	1AOI_F
1AOI_E	1AOI_G
1AOI_E	1AOI_H
1AOJ_A	1AOJ_B
1AOR_B	1AOR_A
1AOU_F	1AOU_P
1AOZ_A	1AOZ_B
1APX_A	1APX_B
1APX_A	1APX_C
1APX_A	1APX_D
1APY_A	1APY_B
1APY_A	1APY_C
1APY_A	1APY_D
1APY_D	1APY_A
1APY_D	1APY_B
1APY_D	1APY_C
1APZ_D	1APZ_A
1APZ_D	1APZ_B
1APZ_D	1APZ_C
1AQ0_A	1AQ0_B
1AQ5_B	1AQ5_A
1AQ5_B	1AQ5_C
1AQC_A	1AQC_B
1AQC_A	1AQC_C
1AQC_A	1AQC_D
1AQU_A	1AQU_B
1AQZ_A	1AQZ_B
1AR4_B	1AR4_A
1AR5_B	1AR5_A
1ARO_L	1ARO_P
1ARZ_A	1ARZ_B
1ARZ_A	1ARZ_C
1ARZ_A	1ARZ_D
1AS4_A	1AS4_B
1ASP_B	1ASP_A
1ASZ_A	1ASZ_B
1AT3_A	1AT3_B
1ATI_A	1ATI_B
1ATI_A	1ATI_C
1ATI_A	1ATI_D
1ATJ_B	1ATJ_A
1ATJ_B	1ATJ_C
1ATJ_B	1ATJ_D
1ATJ_B	1ATJ_E
1ATJ_B	1ATJ_F
1ATL_B	1ATL_A
1ATT_A	1ATT_B
1ATZ_B	1ATZ_A
1AU1_A	1AU1_B
1AU7_A	1AU7_B
1AUG_C	1AUG_A
1AUG_C	1AUG_B
1AUG_C	1AUG_D
1AUI_A	1AUI_B
1AUO_A	1AUO_B
1AUR_A	1AUR_B
1AUT_L	1AUT_C
1AUU_A	1AUU_B
1AUV_B	1AUV_A
1AUY_A	1AUY_B
1AUY_A	1AUY_C
1AV1_D	1AV1_A
1AV1_D	1AV1_B
1AV1_D	1AV1_C
1AVB_B	1AVB_A
1AVF_A	1AVF_J
1AVF_A	1AVF_P
1AVF_A	1AVF_Q
1AVG_I	1AVG_H
1AVG_I	1AVG_L
1AVO_D	1AVO_A
1AVO_D	1AVO_B
1AVO_D	1AVO_C
1AVO_D	1AVO_E
1AVO_D	1AVO_F
1AVO_D	1AVO_G
1AVO_D	1AVO_H
1AVO_D	1AVO_I
1AVO_D	1AVO_J
1AVO_D	1AVO_K
1AVO_D	1AVO_L
1AVO_D	1AVO_M
1AVO_D	1AVO_N
1AVO_K	1AVO_A
1AVO_K	1AVO_B
1AVO_K	1AVO_C
1AVO_K	1AVO_D
1AVO_K	1AVO_E
1AVO_K	1AVO_F
1AVO_K	1AVO_G
1AVO_K	1AVO_H
1AVO_K	1AVO_I
1AVO_K	1AVO_J
1AVO_K	1AVO_L
1AVO_K	1AVO_M
1AVO_K	1AVO_N
1AVP_A	1AVP_B
1AVS_B	1AVS_A
1AVW_B	1AVW_A
1AVX_B	1AVX_A
1AVY_B	1AVY_A
1AVY_B	1AVY_C
1AVY_C	1AVY_A
1AVY_C	1AVY_B
1AW1_E	1AW1_A
1AW1_E	1AW1_B
1AW1_E	1AW1_D
1AW1_E	1AW1_G
1AW1_E	1AW1_H
1AW1_E	1AW1_J
1AW1_E	1AW1_K
1AW2_D	1AW2_A
1AW2_D	1AW2_B
1AW2_D	1AW2_E
1AW2_D	1AW2_G
1AW2_D	1AW2_H
1AW2_D	1AW2_J
1AW2_D	1AW2_K
1AW8_E	1AW8_A
1AW8_E	1AW8_B
1AW8_E	1AW8_D
1AWC_A	1AWC_B
1AWC_B	1AWC_A
1AX4_D	1AX4_A
1AX4_D	1AX4_B
1AX4_D	1AX4_C
1AXD_A	1AXD_B
1AXD_A	1AXD_C
1AXD_A	1AXD_D
1AXI_B	1AXI_A
1AXK_B	1AXK_A
1AXS_B	1AXS_A
1AXS_B	1AXS_H
1AXS_B	1AXS_L
1AY7_B	1AY7_A
1AY9_B	1AY9_A
1AYA_B	1AYA_A
1AYA_B	1AYA_P
1AYA_B	1AYA_Q
1AYF_B	1AYF_A
1AYM_1	1AYM_2
1AYM_1	1AYM_3
1AYM_1	1AYM_4
1AYM_2	1AYM_1
1AYM_2	1AYM_3
1AYM_2	1AYM_4
1AYM_3	1AYM_1
1AYM_3	1AYM_2
1AYM_3	1AYM_4
1AYM_4	1AYM_1
1AYM_4	1AYM_2
1AYM_4	1AYM_3
1AYO_B	1AYO_A
1AYR_A	1AYR_B
1AYR_A	1AYR_C
1AYR_A	1AYR_D
1AYZ_C	1AYZ_A
1AYZ_C	1AYZ_B
1AZS_A	1AZS_B
1AZS_A	1AZS_C
1AZW_B	1AZW_A
1AZZ_A	1AZZ_B
1AZZ_A	1AZZ_C
1AZZ_A	1AZZ_D
1B04_B	1B04_A
1B05_A	1B05_B
1B06_B	1B06_A
1B06_B	1B06_C
1B06_B	1B06_D
1B06_B	1B06_E
1B06_B	1B06_F
1B0N_A	1B0N_B
1B0N_B	1B0N_A
1B0P_B	1B0P_A
1B0V_A	1B0V_B
1B0V_A	1B0V_C
1B0V_A	1B0V_D
1B12_B	1B12_A
1B12_B	1B12_C
1B12_B	1B12_D
1B25_D	1B25_A
1B25_D	1B25_B
1B25_D	1B25_C
1B2M_A	1B2M_B
1B2O_A	1B2O_B
1B2P_A	1B2P_B
1B33_O	1B33_A
1B33_O	1B33_B
1B33_O	1B33_C
1B33_O	1B33_D
1B33_O	1B33_E
1B33_O	1B33_F
1B33_O	1B33_H
1B33_O	1B33_I
1B33_O	1B33_J
1B33_O	1B33_K
1B33_O	1B33_L
1B33_O	1B33_M
1B33_O	1B33_N
1B35_A	1B35_B
1B35_A	1B35_C
1B35_A	1B35_D
1B35_B	1B35_A
1B35_B	1B35_C
1B35_B	1B35_D
1B35_C	1B35_A
1B35_C	1B35_B
1B35_C	1B35_D
1B35_D	1B35_A
1B35_D	1B35_B
1B35_D	1B35_C
1B3B_E	1B3B_A
1B3B_E	1B3B_B
1B3B_E	1B3B_C
1B3B_E	1B3B_D
1B3B_E	1B3B_F
1B3Q_A	1B3Q_B
1B3T_A	1B3T_B
1B3U_A	1B3U_B
1B43_A	1B43_B
1B44_E	1B44_D
1B44_E	1B44_F
1B44_E	1B44_G
1B44_E	1B44_H
1B44_F	1B44_D
1B44_F	1B44_E
1B44_F	1B44_G
1B44_F	1B44_H
1B47_B	1B47_A
1B47_B	1B47_C
1B48_A	1B48_B
1B4B_A	1B4B_B
1B4B_A	1B4B_C
1B4F_F	1B4F_A
1B4F_F	1B4F_B
1B4F_F	1B4F_C
1B4F_F	1B4F_D
1B4F_F	1B4F_E
1B4F_F	1B4F_G
1B4F_F	1B4F_H
1B4F_H	1B4F_A
1B4F_H	1B4F_B
1B4F_H	1B4F_C
1B4F_H	1B4F_D
1B4F_H	1B4F_E
1B4F_H	1B4F_F
1B4F_H	1B4F_G
1B4N_B	1B4N_A
1B4N_B	1B4N_C
1B4N_B	1B4N_D
1B4U_A	1B4U_B
1B4U_A	1B4U_C
1B4U_A	1B4U_D
1B53_B	1B53_A
1B5E_B	1B5E_A
1B5F_A	1B5F_B
1B5F_A	1B5F_C
1B5F_A	1B5F_D
1B5F_B	1B5F_A
1B5F_B	1B5F_C
1B5F_B	1B5F_D
1B5F_C	1B5F_A
1B5F_C	1B5F_B
1B5F_C	1B5F_D
1B5P_B	1B5P_A
1B5Q_C	1B5Q_A
1B5Q_C	1B5Q_B
1B5S_E	1B5S_A
1B5S_E	1B5S_B
1B5S_E	1B5S_C
1B5S_E	1B5S_D
1B5T_A	1B5T_B
1B5T_A	1B5T_C
1B65_B	1B65_A
1B65_B	1B65_C
1B65_B	1B65_D
1B65_B	1B65_E
1B65_B	1B65_F
1B66_A	1B66_B
1B67_A	1B67_B
1B6C_D	1B6C_A
1B6C_D	1B6C_B
1B6C_D	1B6C_C
1B6C_D	1B6C_E
1B6C_D	1B6C_F
1B6C_D	1B6C_G
1B6C_D	1B6C_H
1B6Z_B	1B6Z_A
1B72_A	1B72_B
1B76_B	1B76_A
1B77_C	1B77_A
1B77_C	1B77_B
1B79_B	1B79_A
1B79_B	1B79_C
1B79_B	1B79_D
1B79_C	1B79_A
1B79_C	1B79_B
1B79_C	1B79_D
1B7A_B	1B7A_A
1B7F_B	1B7F_A
1B7G_O	1B7G_Q
1B7Y_A	1B7Y_B
1B7Y_B	1B7Y_A
1B8A_B	1B8A_A
1B8G_B	1B8G_A
1B8I_A	1B8I_B
1B8I_B	1B8I_A
1B8M_A	1B8M_B
1B8Z_B	1B8Z_A
1B93_B	1B93_A
1B93_B	1B93_C
1B9B_B	1B9B_A
1B9L_H	1B9L_A
1B9L_H	1B9L_B
1B9L_H	1B9L_C
1B9L_H	1B9L_D
1B9L_H	1B9L_E
1B9L_H	1B9L_F
1B9L_H	1B9L_G
1B9M_B	1B9M_A
1B9X_C	1B9X_A
1B9X_C	1B9X_B
1BAI_B	1BAI_A
1BAZ_B	1BAZ_A
1BAZ_B	1BAZ_C
1BAZ_B	1BAZ_D
1BB1_A	1BB1_B
1BB1_A	1BB1_C
1BB1_B	1BB1_A
1BB1_B	1BB1_C
1BB1_C	1BB1_A
1BB1_C	1BB1_B
1BBJ_B	1BBJ_A
1BBJ_B	1BBJ_H
1BBJ_B	1BBJ_L
1BBR_H	1BBR_E
1BBR_H	1BBR_F
1BBR_H	1BBR_G
1BBR_H	1BBR_I
1BBR_H	1BBR_J
1BBR_H	1BBR_K
1BBR_H	1BBR_L
1BBR_H	1BBR_M
1BBR_H	1BBR_N
1BCM_A	1BCM_B
1BCP_D	1BCP_A
1BCP_D	1BCP_B
1BCP_D	1BCP_C
1BCP_D	1BCP_E
1BCP_D	1BCP_F
1BCP_D	1BCP_G
1BCP_D	1BCP_H
1BCP_D	1BCP_I
1BCP_D	1BCP_J
1BCP_D	1BCP_K
1BCP_D	1BCP_L
1BCP_F	1BCP_A
1BCP_F	1BCP_B
1BCP_F	1BCP_C
1BCP_F	1BCP_D
1BCP_F	1BCP_E
1BCP_F	1BCP_G
1BCP_F	1BCP_H
1BCP_F	1BCP_I
1BCP_F	1BCP_J
1BCP_F	1BCP_K
1BCP_F	1BCP_L
1BCP_I	1BCP_A
1BCP_I	1BCP_B
1BCP_I	1BCP_C
1BCP_I	1BCP_D
1BCP_I	1BCP_E
1BCP_I	1BCP_F
1BCP_I	1BCP_G
1BCP_I	1BCP_H
1BCP_I	1BCP_J
1BCP_I	1BCP_K
1BCP_I	1BCP_L
1BD0_B	1BD0_A
1BD3_A	1BD3_B
1BD3_A	1BD3_C
1BD3_A	1BD3_D
1BD7_A	1BD7_B
1BD7_B	1BD7_A
1BDF_C	1BDF_A
1BDF_C	1BDF_B
1BDF_C	1BDF_D
1BDM_B	1BDM_A
1BDV_B	1BDV_A
1BDV_B	1BDV_C
1BDV_B	1BDV_D
1BEV_1	1BEV_2
1BEV_1	1BEV_3
1BEV_1	1BEV_4
1BEV_3	1BEV_1
1BEV_3	1BEV_2
1BEV_3	1BEV_4
1BF6_A	1BF6_B
1BFO_A	1BFO_B
1BFO_A	1BFO_C
1BFO_A	1BFO_D
1BFO_A	1BFO_E
1BFO_A	1BFO_F
1BFO_A	1BFO_G
1BFO_A	1BFO_H
1BFT_A	1BFT_B
1BGX_T	1BGX_H
1BGX_T	1BGX_L
1BH8_A	1BH8_B
1BH9_A	1BH9_B
1BH9_B	1BH9_A
1BHD_B	1BHD_A
1BHG_B	1BHG_A
1BHO_2	1BHO_1
1BHT_A	1BHT_B
1BHW_D	1BHW_A
1BHW_D	1BHW_B
1BHW_D	1BHW_C
1BI4_C	1BI4_A
1BI4_C	1BI4_B
1BI6_H	1BI6_L
1BI7_B	1BI7_A
1BIH_B	1BIH_A
1BIN_A	1BIN_B
1BIS_B	1BIS_A
1BJA_A	1BJA_B
1BJF_B	1BJF_A
1BJN_B	1BJN_A
1BJO_B	1BJO_A
1BJQ_H	1BJQ_A
1BJQ_H	1BJQ_B
1BJQ_H	1BJQ_C
1BJQ_H	1BJQ_D
1BJQ_H	1BJQ_E
1BJQ_H	1BJQ_F
1BJQ_H	1BJQ_G
1BJW_B	1BJW_A
1BKH_B	1BKH_A
1BKH_B	1BKH_C
1BKJ_B	1BKJ_A
1BKP_B	1BKP_A
1BKV_C	1BKV_A
1BKV_C	1BKV_B
1BL9_B	1BL9_A
1BLB_C	1BLB_A
1BLB_C	1BLB_B
1BLB_C	1BLB_D
1BLX_A	1BLX_B
1BLX_B	1BLX_A
1BM9_B	1BM9_A
1BML_C	1BML_A
1BML_C	1BML_B
1BML_C	1BML_D
1BMO_A	1BMO_B
1BMT_B	1BMT_A
1BMV_2	1BMV_1
1BND_A	1BND_B
1BNL_C	1BNL_A
1BNL_C	1BNL_B
1BNL_C	1BNL_D
1BOU_B	1BOU_A
1BOU_B	1BOU_C
1BOU_B	1BOU_D
1BOU_C	1BOU_A
1BOU_C	1BOU_B
1BOU_C	1BOU_D
1BPL_A	1BPL_B
1BPL_B	1BPL_A
1BPO_A	1BPO_B
1BPO_A	1BPO_C
1BPO_B	1BPO_A
1BPO_B	1BPO_C
1BQP_A	1BQP_B
1BQP_A	1BQP_C
1BQP_A	1BQP_D
1BQP_B	1BQP_A
1BQP_B	1BQP_C
1BQP_B	1BQP_D
1BQU_A	1BQU_B
1BQY_A	1BQY_B
1BR1_E	1BR1_A
1BR1_E	1BR1_B
1BR1_E	1BR1_C
1BR1_E	1BR1_D
1BR1_E	1BR1_F
1BR1_E	1BR1_G
1BR1_E	1BR1_H
1BRW_B	1BRW_A
1BSL_B	1BSL_A
1BSM_B	1BSM_A
1BSZ_C	1BSZ_A
1BSZ_C	1BSZ_B
1BTE_B	1BTE_A
1BTK_B	1BTK_A
1BU1_E	1BU1_A
1BU1_E	1BU1_B
1BU1_E	1BU1_C
1BU1_E	1BU1_D
1BU1_E	1BU1_F
1BU6_Y	1BU6_O
1BU6_Y	1BU6_X
1BU6_Y	1BU6_Z
1BUC_A	1BUC_B
1BUG_A	1BUG_B
1BUN_A	1BUN_B
1BUN_B	1BUN_A
1BVP_6	1BVP_1
1BVP_6	1BVP_2
1BVP_6	1BVP_3
1BVP_6	1BVP_4
1BVP_6	1BVP_5
1BVY_F	1BVY_A
1BVY_F	1BVY_B
1BW0_A	1BW0_B
1BW0_B	1BW0_A
1BW9_A	1BW9_B
1BWD_B	1BWD_A
1BWV_U	1BWV_A
1BWV_U	1BWV_C
1BWV_U	1BWV_E
1BWV_U	1BWV_G
1BWV_U	1BWV_S
1BWV_U	1BWV_W
1BWV_U	1BWV_Y
1BXB_A	1BXB_B
1BXB_A	1BXB_C
1BXB_A	1BXB_D
1BXN_J	1BXN_A
1BXN_J	1BXN_C
1BXN_J	1BXN_E
1BXN_J	1BXN_G
1BXN_J	1BXN_I
1BXN_J	1BXN_K
1BXN_J	1BXN_L
1BXR_C	1BXR_A
1BXR_C	1BXR_B
1BXR_C	1BXR_D
1BXR_C	1BXR_E
1BXR_C	1BXR_F
1BXR_C	1BXR_G
1BXR_C	1BXR_H
1BXT_A	1BXT_B
1BXT_B	1BXT_A
1BXY_A	1BXY_B
1BY4_B	1BY4_A
1BY4_B	1BY4_C
1BY4_B	1BY4_D
1BY5_A	1BY5_B
1BYE_B	1BYE_A
1BYE_B	1BYE_C
1BYE_B	1BYE_D
1BYF_A	1BYF_B
1BZW_C	1BZW_A
1BZW_C	1BZW_B
1BZW_C	1BZW_D
1C02_B	1C02_A
1C04_C	1C04_A
1C04_C	1C04_B
1C04_C	1C04_D
1C08_A	1C08_B
1C08_A	1C08_C
1C08_B	1C08_A
1C08_B	1C08_C
1C0W_B	1C0W_A
1C0W_B	1C0W_C
1C0W_B	1C0W_D
1C17_M	1C17_A
1C17_M	1C17_B
1C17_M	1C17_C
1C17_M	1C17_D
1C17_M	1C17_E
1C17_M	1C17_F
1C17_M	1C17_G
1C17_M	1C17_H
1C17_M	1C17_I
1C17_M	1C17_J
1C17_M	1C17_K
1C17_M	1C17_L
1C1D_B	1C1D_A
1C1X_A	1C1X_B
1C1Y_B	1C1Y_A
1C2O_B	1C2O_A
1C2O_B	1C2O_C
1C2O_B	1C2O_D
1C2Y_R	1C2Y_A
1C2Y_R	1C2Y_B
1C2Y_R	1C2Y_C
1C2Y_R	1C2Y_D
1C2Y_R	1C2Y_E
1C2Y_R	1C2Y_F
1C2Y_R	1C2Y_G
1C2Y_R	1C2Y_H
1C2Y_R	1C2Y_I
1C2Y_R	1C2Y_J
1C2Y_R	1C2Y_K
1C2Y_R	1C2Y_L
1C2Y_R	1C2Y_M
1C2Y_R	1C2Y_N
1C2Y_R	1C2Y_O
1C2Y_R	1C2Y_P
1C2Y_R	1C2Y_Q
1C2Y_R	1C2Y_S
1C2Y_R	1C2Y_T
1C39_A	1C39_B
1C3A_A	1C3A_B
1C3A_B	1C3A_A
1C3C_A	1C3C_B
1C3E_A	1C3E_B
1C3H_E	1C3H_A
1C3H_E	1C3H_B
1C3H_E	1C3H_C
1C3H_E	1C3H_D
1C3H_E	1C3H_F
1C3Q_B	1C3Q_A
1C3Q_B	1C3Q_C
1C3X_C	1C3X_A
1C3X_C	1C3X_B
1C41_E	1C41_A
1C41_E	1C41_B
1C41_E	1C41_C
1C41_E	1C41_D
1C41_E	1C41_F
1C41_E	1C41_G
1C41_E	1C41_H
1C41_E	1C41_I
1C41_E	1C41_J
1C4Q_C	1C4Q_A
1C4Q_C	1C4Q_B
1C4Q_C	1C4Q_D
1C4Q_C	1C4Q_E
1C4Z_C	1C4Z_A
1C4Z_C	1C4Z_B
1C4Z_C	1C4Z_D
1C5D_B	1C5D_A
1C5D_B	1C5D_H
1C5D_B	1C5D_L
1C5E_A	1C5E_B
1C5E_A	1C5E_C
1C5F_C	1C5F_A
1C5F_C	1C5F_B
1C5F_C	1C5F_D
1C5F_C	1C5F_E
1C5F_C	1C5F_F
1C5F_C	1C5F_G
1C5F_C	1C5F_H
1C5F_C	1C5F_I
1C5F_C	1C5F_J
1C5F_C	1C5F_K
1C5F_C	1C5F_L
1C5F_C	1C5F_M
1C5F_C	1C5F_N
1C5F_C	1C5F_O
1C5F_C	1C5F_P
1C6V_A	1C6V_B
1C6V_A	1C6V_C
1C6V_A	1C6V_D
1C6V_A	1C6V_X
1C6V_D	1C6V_A
1C6V_D	1C6V_B
1C6V_D	1C6V_C
1C6V_D	1C6V_X
1C6V_X	1C6V_A
1C6V_X	1C6V_B
1C6V_X	1C6V_C
1C6V_X	1C6V_D
1C72_D	1C72_A
1C72_D	1C72_B
1C72_D	1C72_C
1C77_B	1C77_A
1C7C_A	1C7C_B
1C7C_A	1C7C_D
1C7D_A	1C7D_B
1C7D_A	1C7D_D
1C7N_H	1C7N_A
1C7N_H	1C7N_B
1C7N_H	1C7N_C
1C7N_H	1C7N_D
1C7N_H	1C7N_E
1C7N_H	1C7N_F
1C7N_H	1C7N_G
1C7O_E	1C7O_A
1C7O_E	1C7O_B
1C7O_E	1C7O_C
1C7O_E	1C7O_D
1C7O_E	1C7O_F
1C7O_E	1C7O_G
1C7O_E	1C7O_H
1C7Z_B	1C7Z_A
1C8B_B	1C8B_A
1C8M_2	1C8M_1
1C8M_2	1C8M_3
1C8M_2	1C8M_4
1C8M_4	1C8M_1
1C8M_4	1C8M_2
1C8M_4	1C8M_3
1C8N_C	1C8N_A
1C8N_C	1C8N_B
1C8O_A	1C8O_B
1C8O_B	1C8O_A
1C8U_A	1C8U_B
1C90_B	1C90_A
1C94_A	1C94_B
1C9B_Q	1C9B_A
1C9B_Q	1C9B_B
1C9B_Q	1C9B_E
1C9B_Q	1C9B_F
1C9B_Q	1C9B_I
1C9B_Q	1C9B_J
1C9B_Q	1C9B_M
1C9B_Q	1C9B_N
1C9B_Q	1C9B_R
1C9K_A	1C9K_B
1C9K_A	1C9K_C
1C9K_B	1C9K_A
1C9K_B	1C9K_C
1C9L_B	1C9L_A
1C9L_B	1C9L_C
1C9L_B	1C9L_D
1C9O_A	1C9O_B
1C9P_B	1C9P_A
