#     Complex Template           SpringScore LenAligned  Dfire  Coverage SeqidA TMscoreA ZscoreA ProbabilityA EvauleA SeqidB TMscoreB ZscoreB ProbabilityB EvauleB
16    2h0dA/1_1_1-2h0dA/1_0_0          4.585        135 12.099     0.570  0.264    0.534   8.018 98.960     9.6e-09   0.181  0.404     9.013  99.110     9.7e-10
17    4auqB/1_1_4-4auqB/1_0_1          4.552        103 14.780     0.435  0.145    0.345   5.886 98.300     1.3e-06   0.134  0.251     6.119  98.320     7.6e-07
18    2yhnA/1_0_0-2yhnA/1_1_1          4.545        110 14.890     0.464  0.118    0.351   5.620 98.380     2.4e-06   0.126  0.289     5.229  98.150     5.9e-06
19    2vjeA/1_1_1-2vjeA/1_0_0          4.391        103 16.090     0.435  0.182    0.327   4.959 98.180     1.1e-05   0.150  0.189     3.745  97.550     0.00018
20    4r8pK/1_0_10-4r8pK/1_1_11        4.230        133 10.926     0.561  0.191    0.525   9.886 99.230     1.3e-10   0.315  0.443     6.886  98.580     1.3e-07
21    4r8pK/1_1_11-4r8pK/1_0_10        4.130        136 10.642     0.574  0.327    0.584   7.060 98.640     8.7e-08   0.197  0.407     8.796  99.090     1.6e-09
22    2h0dA/1_0_0-2h0dA/1_1_1          4.004        131  9.562     0.553  0.209    0.519  10.337 99.260     4.6e-11   0.205  0.384     8.032  98.930     9.3e-09
23    3hcsA/1_1_1-3hcsA/1_0_0          3.851        133 10.954     0.561  0.264    0.590   5.000 98.240       1e-05   0.276  0.409     4.796  98.070     1.6e-05
24    3hcsA/1_0_0-3hcsA/1_1_1          3.848        133 10.942     0.561  0.264    0.589   5.000 98.240       1e-05   0.276  0.408     4.796  98.070     1.6e-05
25    1rmdA/1_0_0-1rmdA/1_1_1          3.828        138  9.382     0.582  0.273    0.530   7.060 98.790     8.7e-08   0.244  0.405     6.886  98.640     1.3e-07
26    1rmdA/1_1_1-1rmdA/1_0_0          3.828        138  9.382     0.582  0.273    0.530   7.060 98.790     8.7e-08   0.244  0.405     6.886  98.640     1.3e-07
27    4xi1A/4_1_1-4xi1A/4_0_0          3.716        132  8.922     0.557  0.191    0.563   8.092 99.000     8.1e-09   0.102  0.355     7.409  98.820     3.9e-08
28    2xeuA/1_0_0-2xeuA/1_1_1          3.690        101 11.395     0.426  0.200    0.424   6.131 98.530     7.4e-07   0.150  0.239     5.161  98.170     6.9e-06
29    2xeuA/1_1_1-2xeuA/1_0_0          3.690        101 11.395     0.426  0.200    0.424   6.131 98.530     7.4e-07   0.150  0.239     5.161  98.170     6.9e-06
30    2bayA/1_0_0-2bayA/1_1_1          3.660        102 11.921     0.430  0.164    0.423   4.886 98.130     1.3e-05   0.079  0.238     4.244  97.710     5.7e-05
31    2bayA/1_1_1-2bayA/1_0_0          3.652        102 11.921     0.430  0.164    0.432   4.886 98.130     1.3e-05   0.094  0.234     4.244  97.710     5.7e-05
32    4xi1A/4_0_0-4xi1A/4_1_1          3.613        132  8.490     0.557  0.191    0.541   8.092 99.000     8.1e-09   0.126  0.349     7.409  98.820     3.9e-08
33    1ldkC/2_0_2-1ldkC/2_1_7          3.480         97 10.901     0.409  0.173    0.291   5.921 98.400     1.2e-06   0.142  0.158     5.456  98.160     3.5e-06
34    1ldkC/2_1_7-1ldkC/2_0_2          3.480         97 10.901     0.409  0.173    0.291   5.921 98.400     1.2e-06   0.142  0.158     5.456  98.160     3.5e-06
35    4ic2A/1_0_0-4ic2A/1_1_1          3.444        107  9.824     0.451  0.173    0.336   5.509 98.310     3.1e-06   0.142  0.292     5.125  98.120     7.5e-06
36    4ic2A/1_1_1-4ic2A/1_0_0          3.406        108  9.695     0.456  0.191    0.359   5.509 98.310     3.1e-06   0.150  0.287     5.125  98.120     7.5e-06
37    4aycA/1_0_0-4aycA/1_1_3          3.245        141  5.889     0.595  0.282    0.561   8.260 99.070     5.5e-09   0.220  0.486     7.018  98.810     9.6e-08
38    4aycA/1_1_3-4aycA/1_0_0          2.957        142  4.934     0.599  0.264    0.529   8.260 99.070     5.5e-09   0.276  0.441     7.018  98.810     9.6e-08
39    4xi1A/4_0_0-4xi1A/4_1_2          2.700        132  4.241     0.557  0.191    0.541   8.092 99.000     8.1e-09   0.102  0.350     7.409  98.820     3.9e-08
40    4xi1A/4_1_2-4xi1A/4_0_0          2.374        132  2.690     0.557  0.191    0.539   8.092 99.000     8.1e-09   0.102  0.355     7.409  98.820     3.9e-08
41    4xi1A/4_0_0-4xi1A/4_1_3          2.265        132  2.185     0.557  0.191    0.541   8.092 99.000     8.1e-09   0.102  0.355     7.409  98.820     3.9e-08
42    4xi1A/4_1_3-4xi1A/4_0_0          2.265        132  2.185     0.557  0.191    0.541   8.092 99.000     8.1e-09   0.102  0.355     7.409  98.820     3.9e-08
43    4ppeA/2_1_1-4ppeA/2_0_0          1.777         91  2.866     0.384  0.191    0.360   5.699 98.430       2e-06   0.150  0.215     4.959  98.100     1.1e-05
44    4ppeA/2_0_0-4ppeA/2_1_1          1.771         91  2.788     0.384  0.182    0.362   5.699 98.430       2e-06   0.150  0.221     4.959  98.100     1.1e-05
45    3dqvY/3_1_5-3dqvY/3_0_2          1.682         95  2.056     0.401  0.164    0.373   5.092 98.170     8.1e-06   0.165  0.254     5.000  97.990       1e-05
46    4r2yA/5_1_3-4r2yA/5_0_0          1.672         65  2.606     0.274  0.155    0.257   5.770 98.400     1.7e-06   0.126  0.173     5.143  98.140     7.2e-06
47    4r2yA/5_0_0-4r2yA/5_1_3          1.593         64  2.329     0.270  0.182    0.266   5.770 98.400     1.7e-06   0.110  0.163     5.143  98.140     7.2e-06
48    3dqvY/3_0_2-3dqvY/3_1_5          1.540         92  1.582     0.388  0.136    0.360   5.092 98.170     8.1e-06   0.165  0.233     5.000  97.990       1e-05
49    4ppeA/1_0_0-4ppeA/1_1_1          1.384         91  0.990     0.384  0.182    0.362   5.699 98.430       2e-06   0.150  0.221     4.959  98.100     1.1e-05
50    4r2yA/5_0_0-4r2yA/5_1_2          1.346         65  1.091     0.274  0.182    0.266   5.770 98.400     1.7e-06   0.126  0.173     5.143  98.140     7.2e-06
51    4r2yA/5_1_2-4r2yA/5_0_0          1.346         65  1.091     0.274  0.182    0.266   5.770 98.400     1.7e-06   0.126  0.173     5.143  98.140     7.2e-06
52    4ppeA/1_1_1-4ppeA/1_0_0          1.262         91  0.477     0.384  0.191    0.360   5.699 98.430       2e-06   0.150  0.215     4.959  98.100     1.1e-05
53    4r2yA/5_1_1-4r2yA/5_0_0          1.137         65  0.124     0.274  0.155    0.257   5.770 98.400     1.7e-06   0.126  0.173     5.143  98.140     7.2e-06
54    4r2yA/5_0_0-4r2yA/5_1_1          1.091         64  0.000     0.270  0.182    0.266   5.770 98.400     1.7e-06   0.110  0.163     5.143  98.140     7.2e-06
55    3vk6A/1_1_1-3vk6A/1_0_0          0.822        100  0.000     0.422  0.191    0.372   2.658 97.000      0.0022   0.173  0.235     2.523  96.690       0.003
56    3vk6A/1_0_0-3vk6A/1_1_1          0.822        100  0.000     0.422  0.191    0.372   2.658 97.000      0.0022   0.173  0.235     2.523  96.690       0.003
DONE
